Name;Lat;Lon;Url
DZA_BC_Tabelbala.606050_TMYx.zip;29.42;-3.25;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BC_Bechar/DZA_BC_Tabelbala.606050_TMYx.zip
CAN_BC_White.Rock.CS.717850_CWEC2020.zip;49.02;-122.78;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_White.Rock.CS.717850_CWEC2020.zip
DZA_BC_Beni.Abbes.606000_TMYx.zip;30.13;-1.83;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BC_Bechar/DZA_BC_Beni.Abbes.606000_TMYx.zip
CAN_BC_Grey.Islet.714760_CWEC2020v2.zip;54.58;-130.7;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Grey.Islet.714760_CWEC2020v2.zip
DZA_BJ_Cap.Carbon.Lighthouse-Bejaia.Port.604010_TMYx.2007-2021.zip;36.75;5.1;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BJ_Bejaia/DZA_BJ_Cap.Carbon.Lighthouse-Bejaia.Port.604010_TMYx.2007-2021.zip
CAN_BC_Quesnel.711920_TDY-CWEC2020v2.zip;53.03;-122.51;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Quesnel.711920_TDY-CWEC2020v2.zip
DZA_BJ_Soummam-Bejaia-Ramdane.AP.604020_TMYx.2004-2018.zip;36.71;5.07;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BJ_Bejaia/DZA_BJ_Soummam-Bejaia-Ramdane.AP.604020_TMYx.2004-2018.zip
CAN_BC_Williams.Lake.AP.711040_CWEC2016.zip;52.18;-122.05;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Williams.Lake.AP.711040_CWEC2016.zip
DZA_BJ_Soummam-Bejaia-Ramdane.AP.604020_TMYx.zip;36.71;5.07;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BJ_Bejaia/DZA_BJ_Soummam-Bejaia-Ramdane.AP.604020_TMYx.zip
CAN_BC_Grey.Islet.714760_TDY-CWEC2020v2.zip;54.58;-130.7;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Grey.Islet.714760_TDY-CWEC2020v2.zip
DZA_BJ_Cap.Carbon.Lighthouse-Bejaia.Port.604010_TMYx.zip;36.75;5.1;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BJ_Bejaia/DZA_BJ_Cap.Carbon.Lighthouse-Bejaia.Port.604010_TMYx.zip
CAN_BC_Quesnel.711920_TMYx.2004-2018.zip;52.98;-122.49;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Quesnel.711920_TMYx.2004-2018.zip
DZA_BJ_Soummam-Bejaia-Ramdane.AP.604020_TMYx.2007-2021.zip;36.71;5.07;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BJ_Bejaia/DZA_BJ_Soummam-Bejaia-Ramdane.AP.604020_TMYx.2007-2021.zip
CAN_BC_Williams.Lake.AP.711040_CWEC2020.zip;52.18;-122.05;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Williams.Lake.AP.711040_CWEC2020.zip
DZA_BL_Blida.604350_TMYx.zip;36.48;2.82;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BL_Blida/DZA_BL_Blida.604350_TMYx.zip
CAN_BC_Grey.Islet.714760_TMYx.2004-2018.zip;54.58;-130.7;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Grey.Islet.714760_TMYx.2004-2018.zip
DZA_BL_Boufarik.AP.604130_TMYx.zip;36.55;2.88;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BL_Blida/DZA_BL_Boufarik.AP.604130_TMYx.zip
CAN_BC_Quesnel.711920_TMYx.2007-2021.zip;52.98;-122.49;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Quesnel.711920_TMYx.2007-2021.zip
DZA_BM_Dellys.603870_TMYx.2007-2021.zip;36.92;3.91;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BM_Boumerdes/DZA_BM_Dellys.603870_TMYx.2007-2021.zip
CAN_BC_Williams.Lake.Rgnl.AP.711040_CWEC2020v2.zip;52.18;-122.05;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Williams.Lake.Rgnl.AP.711040_CWEC2020v2.zip
DZA_BM_Dellys.603870_TMYx.zip;36.92;3.91;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BM_Boumerdes/DZA_BM_Dellys.603870_TMYx.zip
CAN_BC_Grey.Islet.714760_TMYx.2007-2021.zip;54.58;-130.7;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Grey.Islet.714760_TMYx.2007-2021.zip
DZA_BS_Biskra.AP.605250_TMYx.2004-2018.zip;34.79;5.74;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BS_Biskra/DZA_BS_Biskra.AP.605250_TMYx.2004-2018.zip
CAN_BC_Quesnel.711920_TMYx.zip;52.98;-122.49;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Quesnel.711920_TMYx.zip
DZA_BS_Biskra.AP.605250_TMYx.2007-2021.zip;34.79;5.74;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BS_Biskra/DZA_BS_Biskra.AP.605250_TMYx.2007-2021.zip
CAN_BC_Williams.Lake.Rgnl.AP.711040_TDY-CWEC2020v2.zip;52.18;-122.05;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Williams.Lake.Rgnl.AP.711040_TDY-CWEC2020v2.zip
DZA_BS_Biskra.AP.605250_TMYx.zip;34.79;5.74;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BS_Biskra/DZA_BS_Biskra.AP.605250_TMYx.zip
CAN_BC_Grey.Islet.714760_TMYx.zip;54.58;-130.7;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Grey.Islet.714760_TMYx.zip
DZA_BT_Barika.604710_TMYx.2007-2021.zip;35.33;5.33;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BT_Batna/DZA_BT_Barika.604710_TMYx.2007-2021.zip
